,Unnamed: 0,500 count,500 %,100 count,100 %,50 count,50 %,25 count,25 %,10 count,10 %,disease
0,0,19.0,0.3064516129032258,2.0,0.03225806451612903,4.0,0.06451612903225806,5.0,0.08064516129032258,3.0,0.04838709677419355,Juvenile rheumatoid arthritis
0,0,5.0,0.11363636363636365,3.0,0.06818181818181818,1.0,0.022727272727272728,4.0,0.09090909090909093,0.0,0.0,Aortic Valve Stenosis
0,0,12.0,0.12903225806451613,5.0,0.053763440860215055,4.0,0.04301075268817205,1.0,0.010752688172043013,2.0,0.021505376344086027,MIXED LINEAGE LEUKEMIA
0,0,11.0,0.2619047619047619,2.0,0.047619047619047616,1.0,0.023809523809523808,1.0,0.023809523809523808,2.0,0.047619047619047616,Bacteremia
0,0,15.0,0.1724137931034483,2.0,0.02298850574712644,1.0,0.011494252873563218,2.0,0.02298850574712644,5.0,0.057471264367816084,Immune System Diseases
0,0,15.0,0.2542372881355932,4.0,0.06779661016949153,1.0,0.01694915254237288,2.0,0.03389830508474576,1.0,0.01694915254237288,Craniosynostosis
0,0,15.0,0.20833333333333331,2.0,0.027777777777777776,2.0,0.027777777777777776,3.0,0.04166666666666666,3.0,0.04166666666666666,Squamous cell carcinoma of tongue
0,0,15.0,0.16129032258064516,4.0,0.04301075268817205,6.0,0.06451612903225806,6.0,0.06451612903225806,5.0,0.053763440860215055,Peripheral Neuropathy
0,0,23.0,0.15862068965517245,8.0,0.05517241379310345,4.0,0.027586206896551724,4.0,0.027586206896551724,3.0,0.020689655172413796,Choriocarcinoma
0,0,14.0,0.109375,3.0,0.0234375,4.0,0.03125,3.0,0.0234375,6.0,0.046875,Cerebral Infarction
0,0,3.0,0.04615384615384616,3.0,0.04615384615384616,1.0,0.015384615384615384,4.0,0.061538461538461535,3.0,0.04615384615384616,Neurodevelopmental Disorders
0,0,11.0,0.11702127659574467,3.0,0.031914893617021274,1.0,0.010638297872340424,1.0,0.010638297872340424,3.0,0.031914893617021274,Adenocarcinoma of prostate
0,0,11.0,0.1864406779661017,1.0,0.01694915254237288,1.0,0.01694915254237288,1.0,0.01694915254237288,3.0,0.05084745762711865,Focal glomerulosclerosis
0,0,19.0,0.2405063291139241,6.0,0.0759493670886076,2.0,0.02531645569620253,2.0,0.02531645569620253,6.0,0.0759493670886076,Eosinophilic disorder
0,0,5.0,0.13513513513513514,3.0,0.08108108108108109,1.0,0.027027027027027032,2.0,0.054054054054054064,3.0,0.08108108108108109,Machado-Joseph Disease
0,0,6.0,0.1276595744680851,3.0,0.06382978723404255,3.0,0.06382978723404255,2.0,0.0425531914893617,0.0,0.0,Steroid Sulfatase Deficiency Disease
0,0,14.0,0.1917808219178082,2.0,0.0273972602739726,6.0,0.0821917808219178,3.0,0.0410958904109589,5.0,0.0684931506849315,Bone Diseases
0,0,18.0,0.33962264150943394,3.0,0.05660377358490566,0.0,0.0,1.0,0.018867924528301886,0.0,0.0,Myocarditis
0,0,13.0,0.2954545454545455,5.0,0.11363636363636365,1.0,0.022727272727272728,0.0,0.0,2.0,0.045454545454545456,Lymphopenia
0,0,13.0,0.2549019607843137,2.0,0.0392156862745098,2.0,0.0392156862745098,1.0,0.0196078431372549,0.0,0.0,Arthropathy
0,0,16.0,0.26229508196721313,3.0,0.049180327868852465,2.0,0.032786885245901634,1.0,0.016393442622950817,1.0,0.016393442622950817,"Encephalitis, St. Louis"
0,0,2.0,0.030303030303030307,1.0,0.015151515151515154,1.0,0.015151515151515154,2.0,0.030303030303030307,5.0,0.07575757575757576,Malignant neoplasm of larynx
0,0,7.0,0.18421052631578946,1.0,0.02631578947368421,1.0,0.02631578947368421,0.0,0.0,1.0,0.02631578947368421,Pancytopenia
0,0,11.0,0.11827956989247312,2.0,0.021505376344086027,2.0,0.021505376344086027,2.0,0.021505376344086027,1.0,0.010752688172043013,Papilloma
0,0,7.0,0.14,1.0,0.02,0.0,0.0,1.0,0.02,1.0,0.02,M5b Acute differentiated monocytic leukemia
0,0,10.0,0.15873015873015872,3.0,0.047619047619047616,4.0,0.06349206349206349,3.0,0.047619047619047616,5.0,0.07936507936507936,tumor vasculature
0,0,15.0,0.11811023622047245,7.0,0.05511811023622047,3.0,0.023622047244094488,1.0,0.007874015748031496,0.0,0.0,Malignant neoplasm of gastrointestinal tract
0,0,6.0,0.12,3.0,0.06,2.0,0.04,4.0,0.08,4.0,0.08,pediatric acute myeloblastic leukemia
0,0,11.0,0.09482758620689656,3.0,0.02586206896551724,6.0,0.05172413793103448,3.0,0.02586206896551724,2.0,0.017241379310344827,Brain Diseases
0,0,18.0,0.17142857142857146,3.0,0.028571428571428567,1.0,0.009523809523809523,1.0,0.009523809523809523,4.0,0.0380952380952381,Agenesis of corpus callosum
0,0,17.0,0.3035714285714285,5.0,0.08928571428571429,0.0,0.0,1.0,0.017857142857142856,3.0,0.05357142857142857,Vasculitis
0,0,12.0,0.09523809523809523,4.0,0.031746031746031744,4.0,0.031746031746031744,5.0,0.03968253968253968,7.0,0.05555555555555555,Osteoporosis
0,0,10.0,0.101010101010101,3.0,0.030303030303030307,1.0,0.010101010101010102,5.0,0.0505050505050505,4.0,0.040404040404040414,Skin endocrine disorder
0,0,9.0,0.0703125,6.0,0.046875,6.0,0.046875,4.0,0.03125,4.0,0.03125,Adenoma of large intestine
0,0,18.0,0.1978021978021978,1.0,0.01098901098901099,1.0,0.01098901098901099,3.0,0.03296703296703297,3.0,0.03296703296703297,Neurofibromatosis 1
0,0,3.0,0.04166666666666666,5.0,0.06944444444444445,2.0,0.027777777777777776,5.0,0.06944444444444445,2.0,0.027777777777777776,"Polycystic Kidney, Autosomal Dominant"
0,0,3.0,0.07894736842105263,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,6.0,0.15789473684210525,Breast Fibrocystic Disease
0,0,15.0,0.10948905109489053,6.0,0.043795620437956206,10.0,0.072992700729927,5.0,0.0364963503649635,7.0,0.051094890510948905,Essential Hypertension
0,0,1.0,0.016666666666666666,3.0,0.05,7.0,0.11666666666666667,3.0,0.05,2.0,0.03333333333333333,Sensorineural Hearing Loss (disorder)
0,0,29.0,0.2248062015503876,2.0,0.015503875968992246,2.0,0.015503875968992246,4.0,0.031007751937984492,6.0,0.04651162790697674,Hepatitis A
0,0,14.0,0.11965811965811965,6.0,0.05128205128205128,4.0,0.034188034188034185,4.0,0.034188034188034185,10.0,0.08547008547008547,Chronic myeloproliferative disorder
0,0,31.0,0.20945945945945946,12.0,0.08108108108108109,7.0,0.0472972972972973,6.0,0.040540540540540536,6.0,0.040540540540540536,Lupus Erythematosus
0,0,20.0,0.18867924528301888,1.0,0.009433962264150943,1.0,0.009433962264150943,3.0,0.02830188679245283,2.0,0.018867924528301886,Cervical Intraepithelial Neoplasia
0,0,6.0,0.06451612903225806,5.0,0.053763440860215055,3.0,0.03225806451612903,2.0,0.021505376344086027,4.0,0.04301075268817205,Memory impairment
0,0,9.0,0.09278350515463918,1.0,0.010309278350515464,2.0,0.020618556701030927,3.0,0.030927835051546393,3.0,0.030927835051546393,Polycythemia Vera
0,0,10.0,0.1694915254237288,2.0,0.03389830508474576,3.0,0.05084745762711865,0.0,0.0,0.0,0.0,Peripheral T-Cell Lymphoma
0,0,4.0,0.05128205128205128,4.0,0.05128205128205128,3.0,0.038461538461538464,1.0,0.01282051282051282,2.0,0.02564102564102564,Neutropenia
